quarter,level_1,value
1994-Q3,Deliveries Overseas (Forecast For Next Quarter),12
1994-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-4
1994-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-7
1994-Q3,Average Selling Prices (Forecast For Next Quarter),-7
1994-Q3,Investment On Buildings (Forecast - Next 12 Months),17
1994-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),12
1994-Q4,General Business Expectations (Forecast For Next 6 Months),19
1994-Q4,Numbers Employed (Forecast For Next Quarter),7
1994-Q4,Overtime (Forecast For Next Quarter),-2
1994-Q4,Output (Forecast For Next Quarter),16
1994-Q4,Total New Orders Received (Forecast For Next Quarter),21
1994-Q4,Domestic Orders (Forecast For Next Quarter),7
1994-Q4,Export Orders (Forecast For Next Quarter),20
1994-Q4,Deliveries In Singapore (Forecast For Next Quarter),8
1994-Q4,Deliveries Overseas (Forecast For Next Quarter),16
1994-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),0
1994-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-1
1994-Q4,Average Selling Prices (Forecast For Next Quarter),-15
1994-Q4,Investment On Buildings (Forecast - Next 12 Months),19
1994-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),24
1995-Q1,General Business Expectations (Forecast For Next 6 Months),32
1995-Q1,Numbers Employed (Forecast For Next Quarter),15
1995-Q1,Overtime (Forecast For Next Quarter),25
1995-Q1,Output (Forecast For Next Quarter),39
1995-Q1,Total New Orders Received (Forecast For Next Quarter),33
1995-Q1,Domestic Orders (Forecast For Next Quarter),26
1995-Q1,Export Orders (Forecast For Next Quarter),31
1995-Q1,Deliveries In Singapore (Forecast For Next Quarter),30
1995-Q1,Deliveries Overseas (Forecast For Next Quarter),38
1995-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),15
1995-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),8
1995-Q1,Average Selling Prices (Forecast For Next Quarter),-17
1995-Q1,Investment On Buildings (Forecast - Next 12 Months),21
1995-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),28
1995-Q2,General Business Expectations (Forecast For Next 6 Months),21
1995-Q2,Numbers Employed (Forecast For Next Quarter),12
1995-Q2,Overtime (Forecast For Next Quarter),14
1995-Q2,Output (Forecast For Next Quarter),24
1995-Q2,Total New Orders Received (Forecast For Next Quarter),25
1995-Q2,Domestic Orders (Forecast For Next Quarter),8
1995-Q2,Export Orders (Forecast For Next Quarter),22
1995-Q2,Deliveries In Singapore (Forecast For Next Quarter),17
1995-Q2,Deliveries Overseas (Forecast For Next Quarter),26
1995-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),16
1995-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),7
1995-Q2,Average Selling Prices (Forecast For Next Quarter),-10
1995-Q2,Investment On Buildings (Forecast - Next 12 Months),22
1995-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),27
1995-Q3,General Business Expectations (Forecast For Next 6 Months),19
1995-Q3,Numbers Employed (Forecast For Next Quarter),12
1995-Q3,Overtime (Forecast For Next Quarter),22
1995-Q3,Output (Forecast For Next Quarter),21
1995-Q3,Total New Orders Received (Forecast For Next Quarter),18
1995-Q3,Domestic Orders (Forecast For Next Quarter),8
1995-Q3,Export Orders (Forecast For Next Quarter),18
1995-Q3,Deliveries In Singapore (Forecast For Next Quarter),14
1995-Q3,Deliveries Overseas (Forecast For Next Quarter),22
1995-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-3
1995-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),9
1995-Q3,Average Selling Prices (Forecast For Next Quarter),-9
1995-Q3,Investment On Buildings (Forecast - Next 12 Months),16
1995-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),31
1995-Q4,General Business Expectations (Forecast For Next 6 Months),19
1995-Q4,Numbers Employed (Forecast For Next Quarter),10
1995-Q4,Overtime (Forecast For Next Quarter),7
1995-Q4,Output (Forecast For Next Quarter),23
1995-Q4,Total New Orders Received (Forecast For Next Quarter),22
1995-Q4,Domestic Orders (Forecast For Next Quarter),5
1995-Q4,Export Orders (Forecast For Next Quarter),23
1995-Q4,Deliveries In Singapore (Forecast For Next Quarter),3
1995-Q4,Deliveries Overseas (Forecast For Next Quarter),21
1995-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),2
1995-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),4
1995-Q4,Average Selling Prices (Forecast For Next Quarter),-17
1995-Q4,Investment On Buildings (Forecast - Next 12 Months),17
1995-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),29
1996-Q1,General Business Expectations (Forecast For Next 6 Months),23
1996-Q1,Numbers Employed (Forecast For Next Quarter),11
1996-Q1,Overtime (Forecast For Next Quarter),15
1996-Q1,Output (Forecast For Next Quarter),39
1996-Q1,Total New Orders Received (Forecast For Next Quarter),34
1996-Q1,Domestic Orders (Forecast For Next Quarter),16
1996-Q1,Export Orders (Forecast For Next Quarter),32
1996-Q1,Deliveries In Singapore (Forecast For Next Quarter),16
1996-Q1,Deliveries Overseas (Forecast For Next Quarter),30
1996-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),16
1996-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),6
1996-Q1,Average Selling Prices (Forecast For Next Quarter),-22
1996-Q1,Investment On Buildings (Forecast - Next 12 Months),17
1996-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),33
1996-Q2,General Business Expectations (Forecast For Next 6 Months),5
1996-Q2,Numbers Employed (Forecast For Next Quarter),7
1996-Q2,Overtime (Forecast For Next Quarter),-7
1996-Q2,Output (Forecast For Next Quarter),1
1996-Q2,Total New Orders Received (Forecast For Next Quarter),4
1996-Q2,Domestic Orders (Forecast For Next Quarter),-10
1996-Q2,Export Orders (Forecast For Next Quarter),4
1996-Q2,Deliveries In Singapore (Forecast For Next Quarter),-11
1996-Q2,Deliveries Overseas (Forecast For Next Quarter),2
1996-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-3
1996-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-10
1996-Q2,Average Selling Prices (Forecast For Next Quarter),-32
1996-Q2,Investment On Buildings (Forecast - Next 12 Months),6
1996-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),22
1996-Q3,General Business Expectations (Forecast For Next 6 Months),-2
1996-Q3,Numbers Employed (Forecast For Next Quarter),-9
1996-Q3,Overtime (Forecast For Next Quarter),-27
1996-Q3,Output (Forecast For Next Quarter),11
1996-Q3,Total New Orders Received (Forecast For Next Quarter),5
1996-Q3,Domestic Orders (Forecast For Next Quarter),5
1996-Q3,Export Orders (Forecast For Next Quarter),3
1996-Q3,Deliveries In Singapore (Forecast For Next Quarter),-2
1996-Q3,Deliveries Overseas (Forecast For Next Quarter),4
1996-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),0
1996-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-11
1996-Q3,Average Selling Prices (Forecast For Next Quarter),-28
1996-Q3,Investment On Buildings (Forecast - Next 12 Months),11
1996-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),9
1996-Q4,General Business Expectations (Forecast For Next 6 Months),13
1996-Q4,Numbers Employed (Forecast For Next Quarter),5
1996-Q4,Overtime (Forecast For Next Quarter),-12
1996-Q4,Output (Forecast For Next Quarter),4
1996-Q4,Total New Orders Received (Forecast For Next Quarter),6
1996-Q4,Domestic Orders (Forecast For Next Quarter),6
1996-Q4,Export Orders (Forecast For Next Quarter),6
1996-Q4,Deliveries In Singapore (Forecast For Next Quarter),3
1996-Q4,Deliveries Overseas (Forecast For Next Quarter),1
1996-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-14
1996-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-7
1996-Q4,Average Selling Prices (Forecast For Next Quarter),-33
1996-Q4,Investment On Buildings (Forecast - Next 12 Months),9
1996-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),11
1997-Q1,General Business Expectations (Forecast For Next 6 Months),27
1997-Q1,Numbers Employed (Forecast For Next Quarter),9
1997-Q1,Overtime (Forecast For Next Quarter),13
1997-Q1,Output (Forecast For Next Quarter),32
1997-Q1,Total New Orders Received (Forecast For Next Quarter),29
1997-Q1,Domestic Orders (Forecast For Next Quarter),17
1997-Q1,Export Orders (Forecast For Next Quarter),25
1997-Q1,Deliveries In Singapore (Forecast For Next Quarter),24
1997-Q1,Deliveries Overseas (Forecast For Next Quarter),29
1997-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),13
1997-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),2
1997-Q1,Average Selling Prices (Forecast For Next Quarter),-12
1997-Q1,Investment On Buildings (Forecast - Next 12 Months),0
1997-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),11
1997-Q2,General Business Expectations (Forecast For Next 6 Months),17
1997-Q2,Numbers Employed (Forecast For Next Quarter),5
1997-Q2,Overtime (Forecast For Next Quarter),-19
1997-Q2,Output (Forecast For Next Quarter),11
1997-Q2,Total New Orders Received (Forecast For Next Quarter),13
1997-Q2,Domestic Orders (Forecast For Next Quarter),5
1997-Q2,Export Orders (Forecast For Next Quarter),6
1997-Q2,Deliveries In Singapore (Forecast For Next Quarter),6
1997-Q2,Deliveries Overseas (Forecast For Next Quarter),13
1997-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-8
1997-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),0
1997-Q2,Average Selling Prices (Forecast For Next Quarter),-27
1997-Q2,Investment On Buildings (Forecast - Next 12 Months),0
1997-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),9
1997-Q3,General Business Expectations (Forecast For Next 6 Months),21
1997-Q3,Numbers Employed (Forecast For Next Quarter),6
1997-Q3,Overtime (Forecast For Next Quarter),-11
1997-Q3,Output (Forecast For Next Quarter),19
1997-Q3,Total New Orders Received (Forecast For Next Quarter),16
1997-Q3,Domestic Orders (Forecast For Next Quarter),7
1997-Q3,Export Orders (Forecast For Next Quarter),14
1997-Q3,Deliveries In Singapore (Forecast For Next Quarter),10
1997-Q3,Deliveries Overseas (Forecast For Next Quarter),19
1997-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-8
1997-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-5
1997-Q3,Average Selling Prices (Forecast For Next Quarter),-14
1997-Q3,Investment On Buildings (Forecast - Next 12 Months),7
1997-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),6
1997-Q4,General Business Expectations (Forecast For Next 6 Months),-13
1997-Q4,Numbers Employed (Forecast For Next Quarter),-2
1997-Q4,Overtime (Forecast For Next Quarter),-36
1997-Q4,Output (Forecast For Next Quarter),-13
1997-Q4,Total New Orders Received (Forecast For Next Quarter),-10
1997-Q4,Domestic Orders (Forecast For Next Quarter),-18
1997-Q4,Export Orders (Forecast For Next Quarter),-7
1997-Q4,Deliveries In Singapore (Forecast For Next Quarter),-26
1997-Q4,Deliveries Overseas (Forecast For Next Quarter),-7
1997-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-8
1997-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-9
1997-Q4,Average Selling Prices (Forecast For Next Quarter),-35
1997-Q4,Investment On Buildings (Forecast - Next 12 Months),-7
1997-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-7
1998-Q1,General Business Expectations (Forecast For Next 6 Months),2
1998-Q1,Numbers Employed (Forecast For Next Quarter),-1
1998-Q1,Overtime (Forecast For Next Quarter),1
1998-Q1,Output (Forecast For Next Quarter),7
1998-Q1,Total New Orders Received (Forecast For Next Quarter),8
1998-Q1,Domestic Orders (Forecast For Next Quarter),4
1998-Q1,Export Orders (Forecast For Next Quarter),8
1998-Q1,Deliveries In Singapore (Forecast For Next Quarter),3
1998-Q1,Deliveries Overseas (Forecast For Next Quarter),6
1998-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-5
1998-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-15
1998-Q1,Average Selling Prices (Forecast For Next Quarter),-33
1998-Q1,Investment On Buildings (Forecast - Next 12 Months),8
1998-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-6
1998-Q2,General Business Expectations (Forecast For Next 6 Months),-22
1998-Q2,Numbers Employed (Forecast For Next Quarter),-11
1998-Q2,Overtime (Forecast For Next Quarter),-27
1998-Q2,Output (Forecast For Next Quarter),-14
1998-Q2,Total New Orders Received (Forecast For Next Quarter),-20
1998-Q2,Domestic Orders (Forecast For Next Quarter),-12
1998-Q2,Export Orders (Forecast For Next Quarter),-17
1998-Q2,Deliveries In Singapore (Forecast For Next Quarter),-1
1998-Q2,Deliveries Overseas (Forecast For Next Quarter),-10
1998-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-27
1998-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-24
1998-Q2,Average Selling Prices (Forecast For Next Quarter),-36
1998-Q2,Investment On Buildings (Forecast - Next 12 Months),12
1998-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-11
1998-Q3,General Business Expectations (Forecast For Next 6 Months),-23
1998-Q3,Numbers Employed (Forecast For Next Quarter),-9
1998-Q3,Overtime (Forecast For Next Quarter),-22
1998-Q3,Output (Forecast For Next Quarter),-3
1998-Q3,Total New Orders Received (Forecast For Next Quarter),-18
1998-Q3,Domestic Orders (Forecast For Next Quarter),-20
1998-Q3,Export Orders (Forecast For Next Quarter),-17
1998-Q3,Deliveries In Singapore (Forecast For Next Quarter),-12
1998-Q3,Deliveries Overseas (Forecast For Next Quarter),-5
1998-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-40
1998-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-14
1998-Q3,Average Selling Prices (Forecast For Next Quarter),-41
1998-Q3,Investment On Buildings (Forecast - Next 12 Months),0
1998-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-8
1998-Q4,General Business Expectations (Forecast For Next 6 Months),-4
1998-Q4,Numbers Employed (Forecast For Next Quarter),-9
1998-Q4,Overtime (Forecast For Next Quarter),-20
1998-Q4,Output (Forecast For Next Quarter),-13
1998-Q4,Total New Orders Received (Forecast For Next Quarter),-14
1998-Q4,Domestic Orders (Forecast For Next Quarter),-9
1998-Q4,Export Orders (Forecast For Next Quarter),-14
1998-Q4,Deliveries In Singapore (Forecast For Next Quarter),-13
1998-Q4,Deliveries Overseas (Forecast For Next Quarter),-17
1998-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-35
1998-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-19
1998-Q4,Average Selling Prices (Forecast For Next Quarter),-25
1998-Q4,Investment On Buildings (Forecast - Next 12 Months),-1
1998-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-14
1999-Q1,General Business Expectations (Forecast For Next 6 Months),14
1999-Q1,Numbers Employed (Forecast For Next Quarter),4
1999-Q1,Overtime (Forecast For Next Quarter),-7
1999-Q1,Output (Forecast For Next Quarter),22
1999-Q1,Total New Orders Received (Forecast For Next Quarter),23
1999-Q1,Domestic Orders (Forecast For Next Quarter),8
1999-Q1,Export Orders (Forecast For Next Quarter),23
1999-Q1,Deliveries In Singapore (Forecast For Next Quarter),10
1999-Q1,Deliveries Overseas (Forecast For Next Quarter),25
1999-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-19
1999-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-9
1999-Q1,Average Selling Prices (Forecast For Next Quarter),-23
1999-Q1,Investment On Buildings (Forecast - Next 12 Months),1
1999-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),16
1999-Q2,General Business Expectations (Forecast For Next 6 Months),21
1999-Q2,Numbers Employed (Forecast For Next Quarter),6
1999-Q2,Overtime (Forecast For Next Quarter),2
1999-Q2,Output (Forecast For Next Quarter),13
1999-Q2,Total New Orders Received (Forecast For Next Quarter),17
1999-Q2,Domestic Orders (Forecast For Next Quarter),6
1999-Q2,Export Orders (Forecast For Next Quarter),17
1999-Q2,Deliveries In Singapore (Forecast For Next Quarter),5
1999-Q2,Deliveries Overseas (Forecast For Next Quarter),15
1999-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-5
1999-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),3
1999-Q2,Average Selling Prices (Forecast For Next Quarter),-23
1999-Q2,Investment On Buildings (Forecast - Next 12 Months),6
1999-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),14
1999-Q3,General Business Expectations (Forecast For Next 6 Months),13
1999-Q3,Numbers Employed (Forecast For Next Quarter),8
1999-Q3,Overtime (Forecast For Next Quarter),-6
1999-Q3,Output (Forecast For Next Quarter),13
1999-Q3,Total New Orders Received (Forecast For Next Quarter),20
1999-Q3,Domestic Orders (Forecast For Next Quarter),13
1999-Q3,Export Orders (Forecast For Next Quarter),19
1999-Q3,Deliveries In Singapore (Forecast For Next Quarter),5
1999-Q3,Deliveries Overseas (Forecast For Next Quarter),12
1999-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-15
1999-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-6
1999-Q3,Average Selling Prices (Forecast For Next Quarter),-21
1999-Q3,Investment On Buildings (Forecast - Next 12 Months),10
1999-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),25
1999-Q4,General Business Expectations (Forecast For Next 6 Months),16
1999-Q4,Numbers Employed (Forecast For Next Quarter),-7
1999-Q4,Overtime (Forecast For Next Quarter),-25
1999-Q4,Output (Forecast For Next Quarter),0
1999-Q4,Total New Orders Received (Forecast For Next Quarter),-5
1999-Q4,Domestic Orders (Forecast For Next Quarter),-2
1999-Q4,Export Orders (Forecast For Next Quarter),-3
1999-Q4,Deliveries In Singapore (Forecast For Next Quarter),-12
1999-Q4,Deliveries Overseas (Forecast For Next Quarter),0
1999-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-10
1999-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-6
1999-Q4,Average Selling Prices (Forecast For Next Quarter),-21
1999-Q4,Investment On Buildings (Forecast - Next 12 Months),9
1999-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),12
2000-Q1,General Business Expectations (Forecast For Next 6 Months),27
2000-Q1,Numbers Employed (Forecast For Next Quarter),11
2000-Q1,Overtime (Forecast For Next Quarter),2
2000-Q1,Output (Forecast For Next Quarter),31
2000-Q1,Total New Orders Received (Forecast For Next Quarter),30
2000-Q1,Domestic Orders (Forecast For Next Quarter),11
2000-Q1,Export Orders (Forecast For Next Quarter),30
2000-Q1,Deliveries In Singapore (Forecast For Next Quarter),15
2000-Q1,Deliveries Overseas (Forecast For Next Quarter),33
2000-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-11
2000-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-3
2000-Q1,Average Selling Prices (Forecast For Next Quarter),-16
2000-Q1,Investment On Buildings (Forecast - Next 12 Months),11
2000-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),26
2000-Q2,General Business Expectations (Forecast For Next 6 Months),27
2000-Q2,Numbers Employed (Forecast For Next Quarter),12
2000-Q2,Overtime (Forecast For Next Quarter),9
2000-Q2,Output (Forecast For Next Quarter),23
2000-Q2,Total New Orders Received (Forecast For Next Quarter),24
2000-Q2,Domestic Orders (Forecast For Next Quarter),19
2000-Q2,Export Orders (Forecast For Next Quarter),25
2000-Q2,Deliveries In Singapore (Forecast For Next Quarter),18
2000-Q2,Deliveries Overseas (Forecast For Next Quarter),23
2000-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),5
2000-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),8
2000-Q2,Average Selling Prices (Forecast For Next Quarter),-22
2000-Q2,Investment On Buildings (Forecast - Next 12 Months),19
2000-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),26
2000-Q3,General Business Expectations (Forecast For Next 6 Months),24
2000-Q3,Numbers Employed (Forecast For Next Quarter),17
2000-Q3,Overtime (Forecast For Next Quarter),0
2000-Q3,Output (Forecast For Next Quarter),25
2000-Q3,Total New Orders Received (Forecast For Next Quarter),26
2000-Q3,Domestic Orders (Forecast For Next Quarter),9
2000-Q3,Export Orders (Forecast For Next Quarter),26
2000-Q3,Deliveries In Singapore (Forecast For Next Quarter),8
2000-Q3,Deliveries Overseas (Forecast For Next Quarter),27
2000-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-9
2000-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),3
2000-Q3,Average Selling Prices (Forecast For Next Quarter),-14
2000-Q3,Investment On Buildings (Forecast - Next 12 Months),18
2000-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),27
2000-Q4,General Business Expectations (Forecast For Next 6 Months),-3
2000-Q4,Numbers Employed (Forecast For Next Quarter),0
2000-Q4,Overtime (Forecast For Next Quarter),-28
2000-Q4,Output (Forecast For Next Quarter),-10
2000-Q4,Total New Orders Received (Forecast For Next Quarter),0
2000-Q4,Domestic Orders (Forecast For Next Quarter),-9
2000-Q4,Export Orders (Forecast For Next Quarter),1
2000-Q4,Deliveries In Singapore (Forecast For Next Quarter),-12
2000-Q4,Deliveries Overseas (Forecast For Next Quarter),-4
2000-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-14
2000-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-13
2000-Q4,Average Selling Prices (Forecast For Next Quarter),-26
2000-Q4,Investment On Buildings (Forecast - Next 12 Months),16
2000-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),25
2001-Q1,General Business Expectations (Forecast For Next 6 Months),-19
2001-Q1,Numbers Employed (Forecast For Next Quarter),-4
2001-Q1,Overtime (Forecast For Next Quarter),-11
2001-Q1,Output (Forecast For Next Quarter),8
2001-Q1,Total New Orders Received (Forecast For Next Quarter),7
2001-Q1,Domestic Orders (Forecast For Next Quarter),-7
2001-Q1,Export Orders (Forecast For Next Quarter),6
2001-Q1,Deliveries In Singapore (Forecast For Next Quarter),-7
2001-Q1,Deliveries Overseas (Forecast For Next Quarter),9
2001-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-9
2001-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-9
2001-Q1,Average Selling Prices (Forecast For Next Quarter),-27
2001-Q1,Investment On Buildings (Forecast - Next 12 Months),9
2001-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),17
2001-Q2,General Business Expectations (Forecast For Next 6 Months),-22
2001-Q2,Numbers Employed (Forecast For Next Quarter),-12
2001-Q2,Overtime (Forecast For Next Quarter),-17
2001-Q2,Output (Forecast For Next Quarter),-9
2001-Q2,Total New Orders Received (Forecast For Next Quarter),-16
2001-Q2,Domestic Orders (Forecast For Next Quarter),-13
2001-Q2,Export Orders (Forecast For Next Quarter),-15
2001-Q2,Deliveries In Singapore (Forecast For Next Quarter),-13
2001-Q2,Deliveries Overseas (Forecast For Next Quarter),-16
2001-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-25
2001-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-26
2001-Q2,Average Selling Prices (Forecast For Next Quarter),-34
2001-Q2,Investment On Buildings (Forecast - Next 12 Months),8
2001-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),3
2001-Q3,General Business Expectations (Forecast For Next 6 Months),-29
2001-Q3,Numbers Employed (Forecast For Next Quarter),-12
2001-Q3,Overtime (Forecast For Next Quarter),-37
2001-Q3,Output (Forecast For Next Quarter),-21
2001-Q3,Total New Orders Received (Forecast For Next Quarter),-14
2001-Q3,Domestic Orders (Forecast For Next Quarter),-20
2001-Q3,Export Orders (Forecast For Next Quarter),-13
2001-Q3,Deliveries In Singapore (Forecast For Next Quarter),-18
2001-Q3,Deliveries Overseas (Forecast For Next Quarter),-10
2001-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-21
2001-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-23
2001-Q3,Average Selling Prices (Forecast For Next Quarter),-39
2001-Q3,Investment On Buildings (Forecast - Next 12 Months),-5
2001-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-12
2001-Q4,General Business Expectations (Forecast For Next 6 Months),-20
2001-Q4,Numbers Employed (Forecast For Next Quarter),-14
2001-Q4,Overtime (Forecast For Next Quarter),-28
2001-Q4,Output (Forecast For Next Quarter),-27
2001-Q4,Total New Orders Received (Forecast For Next Quarter),-37
2001-Q4,Domestic Orders (Forecast For Next Quarter),-22
2001-Q4,Export Orders (Forecast For Next Quarter),-33
2001-Q4,Deliveries In Singapore (Forecast For Next Quarter),-27
2001-Q4,Deliveries Overseas (Forecast For Next Quarter),-29
2001-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-30
2001-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-14
2001-Q4,Average Selling Prices (Forecast For Next Quarter),-26
2001-Q4,Investment On Buildings (Forecast - Next 12 Months),-12
2001-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-14
2002-Q1,General Business Expectations (Forecast For Next 6 Months),32
2002-Q1,Numbers Employed (Forecast For Next Quarter),4
2002-Q1,Overtime (Forecast For Next Quarter),10
2002-Q1,Output (Forecast For Next Quarter),43
2002-Q1,Total New Orders Received (Forecast For Next Quarter),43
2002-Q1,Domestic Orders (Forecast For Next Quarter),27
2002-Q1,Export Orders (Forecast For Next Quarter),37
2002-Q1,Deliveries In Singapore (Forecast For Next Quarter),16
2002-Q1,Deliveries Overseas (Forecast For Next Quarter),31
2002-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),0
2002-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
2002-Q1,Average Selling Prices (Forecast For Next Quarter),-12
2002-Q1,Investment On Buildings (Forecast - Next 12 Months),-3
2002-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-3
2002-Q2,General Business Expectations (Forecast For Next 6 Months),10
2002-Q2,Numbers Employed (Forecast For Next Quarter),2
2002-Q2,Overtime (Forecast For Next Quarter),3
2002-Q2,Output (Forecast For Next Quarter),3
2002-Q2,Total New Orders Received (Forecast For Next Quarter),4
2002-Q2,Domestic Orders (Forecast For Next Quarter),2
2002-Q2,Export Orders (Forecast For Next Quarter),3
2002-Q2,Deliveries In Singapore (Forecast For Next Quarter),4
2002-Q2,Deliveries Overseas (Forecast For Next Quarter),3
2002-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-7
2002-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-6
2002-Q2,Average Selling Prices (Forecast For Next Quarter),-17
2002-Q2,Investment On Buildings (Forecast - Next 12 Months),-3
2002-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-3
2002-Q3,General Business Expectations (Forecast For Next 6 Months),-12
2002-Q3,Numbers Employed (Forecast For Next Quarter),-4
2002-Q3,Overtime (Forecast For Next Quarter),-8
2002-Q3,Output (Forecast For Next Quarter),-9
2002-Q3,Total New Orders Received (Forecast For Next Quarter),-4
2002-Q3,Domestic Orders (Forecast For Next Quarter),-14
2002-Q3,Export Orders (Forecast For Next Quarter),-3
2002-Q3,Deliveries In Singapore (Forecast For Next Quarter),-12
2002-Q3,Deliveries Overseas (Forecast For Next Quarter),-4
2002-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-11
2002-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-13
2002-Q3,Average Selling Prices (Forecast For Next Quarter),-32
2002-Q3,Investment On Buildings (Forecast - Next 12 Months),-2
2002-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-6
2002-Q4,General Business Expectations (Forecast For Next 6 Months),-12
2002-Q4,Numbers Employed (Forecast For Next Quarter),-3
2002-Q4,Overtime (Forecast For Next Quarter),-30
2002-Q4,Output (Forecast For Next Quarter),-7
